iter	MAE	RMSE
0	25.87155446	27.70171627
1	24.72670374	26.51920839
2	23.62097418	25.38445693
3	22.56593458	24.30156423
4	21.58631092	23.2839274
5	20.57524764	22.23746667
6	19.64370659	21.27100613
7	18.81827984	20.41640164
8	17.98805117	19.54552011
9	17.20413094	18.74403636
10	16.45254392	17.95029406
11	15.72720169	17.1961592
12	15.07825219	16.52169628
13	14.45877072	15.87907211
14	13.81830449	15.23353648
15	13.27418285	14.67178994
16	12.70864253	14.09332178
17	12.16895525	13.51471412
18	11.64121892	12.97193816
19	11.14074242	12.48687961
20	10.67626034	12.00218965
21	10.24047203	11.54602664
22	9.838600104	11.12392012
23	9.500699635	10.75705773
24	9.122697534	10.32741057
25	8.789136654	9.947016559
26	8.474210482	9.580191741
27	8.159307836	9.236244857
28	7.882861131	8.932090689
29	7.608562304	8.625538938
30	7.359004181	8.344852181
31	7.116025336	8.079439586
32	6.864807715	7.820935979
33	6.632213577	7.575992273
34	6.419945908	7.343493291
35	6.206453844	7.120789206
36	6.021226667	6.920787645
37	5.839338839	6.737544839
38	5.660183398	6.568298319
39	5.486010338	6.391990747
40	5.322573979	6.224102324
41	5.17535017	6.076680892
42	5.024361722	5.937679239
43	4.882800623	5.797039746
44	4.747429524	5.665280793
45	4.622280118	5.544003732
46	4.504772166	5.428553474
47	4.3876181	5.318501148
48	4.286822999	5.222659548
49	4.19097884	5.12990099
50	4.093125874	5.034531022
51	3.998000725	4.944119236
52	3.915475231	4.867093413
53	3.836555739	4.795832225
54	3.760417381	4.724375414
55	3.691122662	4.66172966
56	3.625404321	4.600671867
57	3.56330882	4.54503864
58	3.509811082	4.496395343
59	3.448650716	4.444002665
60	3.391188315	4.392827936
61	3.337336711	4.34870559
62	3.293907039	4.312781918
63	3.251133674	4.27576208
64	3.207487802	4.242114681
65	3.164135161	4.207608673
66	3.121757585	4.174502111
67	3.084605105	4.146945974
68	3.048999873	4.119486882
69	3.018128656	4.096209917
70	2.982682564	4.07029443
71	2.950879787	4.046709772
72	2.924489352	4.02605555
73	2.895345807	4.003026159
74	2.867177028	3.979622365
75	2.841940773	3.957379625
76	2.819690489	3.942574811
77	2.796266951	3.921942365
78	2.77632544	3.903506513
79	2.758668073	3.890965539
80	2.741393081	3.87712345
81	2.721722927	3.861519408
82	2.702261686	3.84460384
83	2.683146277	3.830748929
84	2.666796925	3.815015198
85	2.652385114	3.801760682
86	2.634309053	3.785838369
87	2.621870161	3.775283373
88	2.607576361	3.762983671
89	2.597075601	3.753183548
90	2.58233746	3.739272409
91	2.568064992	3.722708746
92	2.553135222	3.706834805
93	2.542517384	3.697724402
94	2.539023672	3.693639545
95	2.527578757	3.682312655
96	2.521126144	3.67846755
97	2.511770295	3.667722526
98	2.500698605	3.656192448
99	2.489077706	3.64477905
100	2.480138615	3.632948472
101	2.470158082	3.621624088
102	2.460354091	3.608185779
103	2.453645436	3.601894271
104	2.443733921	3.591566138
105	2.437716669	3.582461359
106	2.430136366	3.573102618
107	2.419851527	3.561569234
108	2.411317915	3.548627323
109	2.40634262	3.541796437
110	2.398454273	3.533988828
111	2.38956794	3.521523472
112	2.380334646	3.511459095
113	2.375952212	3.504694337
114	2.370770094	3.500521002
115	2.363039113	3.489461393
116	2.358773428	3.487181005
117	2.34930335	3.475692644
118	2.340697036	3.467370249
119	2.333265909	3.456197444
120	2.328429263	3.449482903
121	2.322875299	3.443394703
122	2.319125779	3.439617274
123	2.314519464	3.43440542
124	2.306529319	3.424409548
125	2.3000082	3.41471027
126	2.291108735	3.404474067
127	2.284722723	3.398099254
128	2.275281704	3.384738859
129	2.266963301	3.374757857
130	2.263133993	3.369750267
131	2.254683757	3.359810388
132	2.250154919	3.353954211
133	2.243918434	3.346408677
134	2.241944179	3.342997282
135	2.234472526	3.333378938
136	2.231469226	3.328540188
137	2.224281995	3.32009933
138	2.218088675	3.310256601
139	2.213850915	3.303883753
140	2.20809321	3.296651529
141	2.205190691	3.292961108
142	2.201745538	3.289172526
143	2.197359715	3.28594399
144	2.193984828	3.2830109
145	2.187598126	3.273806684
146	2.181714459	3.268042115
147	2.173782499	3.260149488
148	2.170161393	3.25509084
149	2.164860284	3.247155585
150	2.160047028	3.242873904
151	2.15696856	3.237358491
152	2.149245585	3.228200533
153	2.142406474	3.218054375
154	2.137977341	3.212507388
155	2.133348236	3.205956396
156	2.128882523	3.201905926
157	2.124525133	3.194954869
158	2.121737133	3.192010278
159	2.116301669	3.18468585
160	2.110826662	3.177305094
161	2.105641109	3.170354438
162	2.09827339	3.161086042
163	2.091506658	3.153014743
164	2.087714656	3.14674267
165	2.083875347	3.142681476
166	2.079774692	3.137765999
167	2.077061872	3.133917599
168	2.074702828	3.13074003
169	2.069263604	3.124913691
170	2.063798253	3.118786065
171	2.057742877	3.112568583
172	2.053104259	3.108184265
173	2.045323954	3.097970904
174	2.039653297	3.089217265
175	2.035334053	3.084551666
176	2.030955255	3.079985326
177	2.027051165	3.075544055
178	2.022536672	3.071027434
179	2.015058419	3.061399382
180	2.012485442	3.058197595
181	2.005590619	3.049312525
182	1.99931861	3.041071487
183	1.996511044	3.036173826
184	1.993910352	3.031133906
185	1.989997757	3.025876401
186	1.986680973	3.022543084
187	1.984093974	3.019087834
188	1.979315926	3.013654364
189	1.976780822	3.008821695
190	1.972969539	3.004328684
191	1.972100612	3.001266894
192	1.968275696	2.996779033
193	1.965908604	2.993983469
194	1.960741119	2.988301058
195	1.95568888	2.981138392
196	1.953168614	2.977639131
197	1.95102301	2.975140536
