iter	Passed	Remaining
0	172	172703
1	175	87661
2	178	59201
3	180	44961
4	185	36921
5	187	31113
6	190	26978
7	192	23852
8	194	21423
9	199	19766
10	202	18210
11	205	16878
12	207	15729
13	212	14961
14	215	14132
15	217	13381
16	219	12716
17	222	12151
18	224	11593
19	229	11225
20	231	10791
21	234	10407
22	236	10038
23	240	9760
24	242	9452
25	244	9152
26	246	8867
27	248	8609
28	249	8357
29	251	8144
30	253	7931
31	256	7757
32	258	7576
33	260	7401
34	262	7232
35	264	7071
36	266	6923
37	268	6799
38	270	6675
39	272	6551
40	275	6451
41	277	6330
42	279	6216
43	284	6173
44	286	6076
45	288	5985
46	290	5888
47	292	5797
48	294	5708
49	298	5670
50	300	5587
51	302	5507
52	303	5428
53	305	5347
54	306	5272
55	308	5205
56	312	5166
57	314	5108
58	316	5050
59	318	4988
60	319	4925
61	321	4867
62	324	4820
63	328	4801
64	330	4748
65	331	4697
66	333	4645
67	335	4592
68	336	4543
69	338	4499
70	341	4473
71	344	4436
72	346	4396
73	348	4358
74	350	4319
75	352	4282
76	354	4249
77	356	4215
78	359	4186
79	360	4143
80	361	4106
81	363	4074
82	365	4042
83	371	4053
84	373	4025
85	375	3995
86	377	3964
87	382	3968
88	385	3941
89	387	3914
90	389	3885
91	390	3856
92	392	3828
93	395	3809
94	396	3778
95	398	3754
96	400	3725
97	401	3698
98	403	3671
99	405	3646
100	407	3624
101	409	3606
102	411	3582
103	414	3567
104	417	3554
105	419	3536
106	421	3518
107	423	3499
108	425	3479
109	427	3457
110	429	3436
111	430	3416
112	432	3397
113	436	3394
114	438	3376
115	440	3359
116	441	3335
117	443	3315
118	445	3297
119	447	3278
120	450	3271
121	452	3256
122	454	3241
123	456	3223
124	458	3207
125	460	3192
126	463	3189
127	466	3178
128	468	3165
129	470	3149
130	472	3136
131	474	3122
132	479	3125
133	481	3110
134	483	3096
135	485	3085
136	487	3069
137	488	3053
138	490	3039
139	493	3032
140	495	3018
141	497	3004
142	499	2991
143	501	2978
144	503	2969
145	506	2962
146	508	2950
147	510	2938
148	512	2925
149	513	2912
150	515	2899
151	517	2886
152	520	2880
153	522	2867
154	524	2861
155	526	2848
156	528	2835
157	529	2822
158	531	2810
159	535	2811
160	537	2802
161	540	2795
162	542	2784
163	543	2772
164	545	2761
165	550	2764
166	552	2758
167	554	2747
168	556	2735
169	557	2722
170	559	2712
171	561	2702
172	564	2697
173	566	2690
174	568	2680
175	570	2670
176	572	2660
177	575	2658
178	577	2650
179	580	2643
180	582	2634
181	584	2624
182	585	2615
183	587	2606
184	590	2600
185	592	2593
186	594	2586
187	596	2577
188	599	2572
189	601	2564
190	604	2559
191	606	2552
192	608	2546
193	610	2537
194	612	2529
195	614	2522
196	618	2520
197	621	2515
198	623	2508
199	625	2500
200	627	2492
201	629	2485
202	631	2477
203	633	2473
204	636	2467
205	638	2461
206	640	2453
207	642	2447
208	647	2450
209	650	2447
210	652	2441
211	655	2435
212	657	2429
213	671	2464
214	673	2457
215	676	2456
216	679	2450
217	680	2442
218	682	2434
219	684	2427
220	686	2420
221	688	2412
222	691	2410
223	694	2405
224	697	2401
225	699	2395
226	701	2389
227	703	2383
228	706	2378
229	710	2377
230	712	2371
231	714	2365
232	716	2358
233	718	2353
234	721	2348
235	724	2344
236	726	2339
237	728	2333
238	730	2327
239	739	2343
240	742	2337
241	744	2332
242	746	2325
243	754	2337
244	756	2332
245	758	2325
246	760	2319
247	765	2322
248	768	2317
249	770	2312
250	772	2305
251	774	2298
252	776	2291
253	780	2292
254	782	2287
255	784	2280
256	786	2274
257	788	2268
258	790	2262
259	793	2258
260	795	2252
261	797	2247
262	800	2241
263	802	2235
264	804	2230
265	805	2224
266	809	2221
267	811	2217
268	813	2211
269	816	2206
270	817	2200
271	820	2194
272	822	2190
273	824	2184
274	826	2178
275	828	2173
276	830	2167
277	832	2161
278	834	2156
279	837	2153
280	839	2148
281	841	2143
282	844	2138
283	846	2134
284	848	2128
285	851	2126
286	853	2121
287	856	2117
288	859	2113
289	861	2108
290	862	2102
291	865	2098
292	867	2093
293	869	2087
294	871	2083
295	874	2079
296	876	2074
297	879	2071
298	881	2067
299	884	2063
300	886	2058
301	888	2053
302	890	2047
303	893	2045
304	895	2040
305	897	2035
306	899	2030
307	901	2024
308	902	2019
309	904	2013
310	908	2011
311	909	2006
312	912	2003
313	914	1998
314	916	1992
315	918	1987
316	922	1988
317	925	1984
318	927	1979
319	928	1973
320	930	1968
321	932	1963
322	935	1960
323	937	1956
324	939	1951
325	941	1946
326	943	1941
327	945	1936
328	947	1931
329	953	1936
330	956	1933
331	958	1929
332	960	1924
333	963	1920
334	966	1918
335	968	1914
336	971	1910
337	973	1906
338	975	1901
339	977	1897
340	980	1895
341	982	1890
342	985	1886
343	986	1882
344	988	1877
345	990	1872
346	993	1870
