iter	RMSE
0	18.46177361
1	17.39655116
2	16.44072616
3	15.58079948
4	14.69946285
5	13.9261897
6	13.19746276
7	12.50471623
8	11.90304559
9	11.29239617
10	10.72992583
11	10.22513229
12	9.777156761
13	9.342032004
14	8.987577585
15	8.617742168
16	8.288615129
17	8.003429528
18	7.712545622
19	7.451077496
20	7.210479844
21	6.995277045
22	6.804241908
23	6.639409029
24	6.480313385
25	6.331796479
26	6.198348059
27	6.073469516
28	5.961505369
29	5.865486236
30	5.77327142
31	5.702875341
32	5.630818928
33	5.564836256
34	5.501584433
35	5.439789305
36	5.388153731
37	5.343500716
38	5.301957026
39	5.26741319
40	5.23711198
41	5.206270176
42	5.180239336
43	5.159728699
44	5.134635578
45	5.118812738
46	5.102174601
47	5.084215176
48	5.068943417
49	5.055307077
50	5.039617588
51	5.025778878
52	5.014518093
53	5.002983588
54	4.996229686
55	4.986013521
56	4.978162302
57	4.972325834
58	4.964894323
59	4.955557651
60	4.948119615
61	4.944259228
62	4.938772617
63	4.930726237
64	4.926483186
65	4.920830895
66	4.916203712
67	4.910254865
68	4.905600318
69	4.90193156
70	4.898806333
71	4.895379082
72	4.892792415
73	4.88811631
74	4.883764506
75	4.881576324
76	4.878361364
77	4.877115561
78	4.872926639
79	4.871453486
80	4.86841048
81	4.866085125
82	4.863633278
83	4.858425941
84	4.856086751
85	4.854626855
86	4.852971575
87	4.84977325
88	4.846339816
89	4.845842273
90	4.840394794
91	4.837980028
92	4.836198266
93	4.832687798
94	4.830837582
95	4.826173126
96	4.823572867
97	4.819982856
98	4.817474698
99	4.813529013
100	4.809974577
101	4.807248059
102	4.805548152
103	4.803540291
104	4.801555613
105	4.799684661
106	4.796460551
107	4.793782655
108	4.790906989
109	4.789217956
110	4.787613261
111	4.784828747
112	4.782117463
113	4.779642783
114	4.777172914
115	4.771939287
116	4.769489782
117	4.768158949
118	4.765610469
119	4.763636135
120	4.761172526
121	4.758228048
122	4.750772882
123	4.748192676
124	4.746587493
125	4.744958299
126	4.742364997
127	4.741193973
128	4.738542366
129	4.735357023
130	4.733955261
131	4.730641843
132	4.72780936
133	4.7241841
134	4.721142679
135	4.718209973
136	4.717175444
137	4.715381183
138	4.711922583
139	4.710049947
