iter	Passed	Remaining
0	8	8637
1	18	9373
2	28	9458
3	37	9304
4	49	9866
5	58	9714
6	64	9194
7	69	8586
8	77	8577
9	86	8550
10	91	8231
11	100	8259
12	105	8017
13	110	7798
14	119	7830
15	127	7816
16	134	7774
17	142	7747
18	151	7797
19	155	7638
20	162	7595
21	170	7558
22	177	7528
23	184	7485
24	188	7348
25	195	7305
26	201	7273
27	211	7326
28	220	7370
29	228	7380
30	236	7400
31	244	7388
32	252	7389
33	259	7372
34	267	7372
35	274	7349
36	281	7328
37	288	7312
38	296	7295
39	303	7288
40	311	7278
41	319	7282
42	327	7281
43	332	7223
44	339	7199
45	343	7124
46	350	7116
47	358	7104
48	365	7091
49	372	7072
50	379	7055
51	386	7041
52	390	6985
53	397	6970
54	401	6895
55	411	6933
56	420	6964
57	432	7021
58	441	7037
59	450	7055
60	457	7050
61	462	6995
62	469	6978
63	476	6973
64	483	6961
65	490	6946
66	498	6939
67	505	6922
68	512	6921
69	520	6911
70	527	6903
71	534	6888
72	542	6887
73	549	6876
74	557	6876
75	561	6831
76	568	6820
77	572	6770
78	579	6756
79	584	6723
80	592	6719
81	599	6709
82	606	6701
83	613	6695
84	620	6682
85	627	6672
86	634	6662
87	642	6659
88	649	6646
89	652	6594
90	658	6582
91	665	6570
92	673	6566
93	680	6560
94	688	6558
95	695	6552
96	704	6554
97	710	6543
98	717	6534
99	725	6525
100	731	6512
101	738	6503
102	745	6490
103	752	6485
104	759	6471
105	766	6465
106	773	6458
107	781	6458
108	789	6455
109	796	6447
110	803	6438
111	810	6427
112	817	6420
113	824	6409
114	831	6400
115	838	6391
116	852	6437
117	860	6435
118	867	6425
119	874	6415
120	882	6410
121	889	6399
122	896	6391
123	904	6387
124	911	6382
125	919	6378
126	927	6373
127	934	6366
128	941	6354
129	948	6345
130	954	6334
131	962	6328
132	976	6367
133	990	6398
134	1004	6435
135	1017	6462
136	1028	6481
137	1040	6501
138	1053	6526
139	1065	6545
