======================================================================
ASTRAM AI - Training from Raw CSV Data
======================================================================

[1/7] Loading raw CSV data...
  Loaded: 8,173 records, 46 columns
  Total nulls: 169,875

[2/7] Parsing datetime and extracting temporal features...
  After datetime filtering: 8,057 records

[3/7] Data cleaning...
  Kannada text detected: 859 reports (10.7%)

[4/7] Feature engineering...
  Total features engineered: 30

[5/7] Creating impact score target...
  Impact score range: 0.0 - 100.0
  Impact score mean: 33.2 ± 17.8

[6/7] Preparing training data...
  Features: 31
  Samples: 8,057
  Train: 6,445 | Test: 1,612

[7/7] Training CatBoost model...
0:	learn: 17.2104565	test: 16.8609304	best: 16.8609304 (0)	total: 138ms	remaining: 3m 26s
1:	learn: 16.5399918	test: 16.2149891	best: 16.2149891 (1)	total: 143ms	remaining: 1m 46s
2:	learn: 15.9212887	test: 15.6183405	best: 15.6183405 (2)	total: 148ms	remaining: 1m 13s
3:	learn: 15.3642727	test: 15.0811391	best: 15.0811391 (3)	total: 152ms	remaining: 57s
4:	learn: 14.8134256	test: 14.5497258	best: 14.5497258 (4)	total: 157ms	remaining: 46.9s
5:	learn: 14.2860906	test: 14.0355527	best: 14.0355527 (5)	total: 161ms	remaining: 40.2s
6:	learn: 13.8065080	test: 13.5816785	best: 13.5816785 (6)	total: 166ms	remaining: 35.3s
7:	learn: 13.3242372	test: 13.1183141	best: 13.1183141 (7)	total: 171ms	remaining: 31.8s
8:	learn: 12.8944720	test: 12.7039816	best: 12.7039816 (8)	total: 176ms	remaining: 29.2s
9:	learn: 12.4807202	test: 12.3066583	best: 12.3066583 (9)	total: 181ms	remaining: 26.9s
10:	learn: 12.0726558	test: 11.9138082	best: 11.9138082 (10)	total: 185ms	remaining: 25s
11:	learn: 11.7016919	test: 11.5545617	best: 11.5545617 (11)	total: 189ms	remaining: 23.4s
12:	learn: 11.3390566	test: 11.2040304	best: 11.2040304 (12)	total: 194ms	remaining: 22.2s
13:	learn: 11.0046154	test: 10.8807162	best: 10.8807162 (13)	total: 198ms	remaining: 21s
14:	learn: 10.6768265	test: 10.5697126	best: 10.5697126 (14)	total: 202ms	remaining: 20s
15:	learn: 10.3887580	test: 10.2894710	best: 10.2894710 (15)	total: 206ms	remaining: 19.1s
16:	learn: 10.1072179	test: 10.0130108	best: 10.0130108 (16)	total: 210ms	remaining: 18.3s
17:	learn: 9.8563719	test: 9.7801893	best: 9.7801893 (17)	total: 214ms	remaining: 17.6s
18:	learn: 9.6115102	test: 9.5447897	best: 9.5447897 (18)	total: 218ms	remaining: 17s
19:	learn: 9.3449830	test: 9.2923483	best: 9.2923483 (19)	total: 222ms	remaining: 16.4s
20:	learn: 9.1315991	test: 9.0871536	best: 9.0871536 (20)	total: 226ms	remaining: 15.9s
21:	learn: 8.9134465	test: 8.8820957	best: 8.8820957 (21)	total: 230ms	remaining: 15.4s
22:	learn: 8.7161752	test: 8.6887100	best: 8.6887100 (22)	total: 234ms	remaining: 15s
23:	learn: 8.5003049	test: 8.4821955	best: 8.4821955 (23)	total: 238ms	remaining: 14.7s
24:	learn: 8.3033489	test: 8.2917248	best: 8.2917248 (24)	total: 242ms	remaining: 14.3s
25:	learn: 8.1412277	test: 8.1351655	best: 8.1351655 (25)	total: 246ms	remaining: 14s
26:	learn: 7.9600845	test: 7.9602113	best: 7.9602113 (26)	total: 250ms	remaining: 13.6s
27:	learn: 7.8172071	test: 7.8241039	best: 7.8241039 (27)	total: 254ms	remaining: 13.3s
28:	learn: 7.6940265	test: 7.7084864	best: 7.7084864 (28)	total: 257ms	remaining: 13s
29:	learn: 7.5665969	test: 7.5812768	best: 7.5812768 (29)	total: 260ms	remaining: 12.7s
30:	learn: 7.4243952	test: 7.4434625	best: 7.4434625 (30)	total: 262ms	remaining: 12.4s
31:	learn: 7.3121959	test: 7.3368789	best: 7.3368789 (31)	total: 266ms	remaining: 12.2s
32:	learn: 7.1873405	test: 7.2214480	best: 7.2214480 (32)	total: 269ms	remaining: 12s
33:	learn: 7.0903834	test: 7.1274039	best: 7.1274039 (33)	total: 272ms	remaining: 11.7s
34:	learn: 6.9938731	test: 7.0304945	best: 7.0304945 (34)	total: 275ms	remaining: 11.5s
35:	learn: 6.8783275	test: 6.9195111	best: 6.9195111 (35)	total: 278ms	remaining: 11.3s
36:	learn: 6.7935961	test: 6.8349774	best: 6.8349774 (36)	total: 281ms	remaining: 11.1s
37:	learn: 6.7177754	test: 6.7598801	best: 6.7598801 (37)	total: 284ms	remaining: 10.9s
38:	learn: 6.6255856	test: 6.6702084	best: 6.6702084 (38)	total: 287ms	remaining: 10.8s
39:	learn: 6.5438745	test: 6.5929502	best: 6.5929502 (39)	total: 290ms	remaining: 10.6s
40:	learn: 6.4752480	test: 6.5233545	best: 6.5233545 (40)	total: 293ms	remaining: 10.4s
41:	learn: 6.3900494	test: 6.4406091	best: 6.4406091 (41)	total: 296ms	remaining: 10.3s
42:	learn: 6.3185190	test: 6.3722518	best: 6.3722518 (42)	total: 299ms	remaining: 10.1s
43:	learn: 6.2485232	test: 6.3036647	best: 6.3036647 (43)	total: 302ms	remaining: 9.98s
44:	learn: 6.1848662	test: 6.2432031	best: 6.2432031 (44)	total: 304ms	remaining: 9.83s
45:	learn: 6.1278293	test: 6.1901704	best: 6.1901704 (45)	total: 307ms	remaining: 9.7s
46:	learn: 6.0710136	test: 6.1376762	best: 6.1376762 (46)	total: 310ms	remaining: 9.57s
47:	learn: 6.0313980	test: 6.1017374	best: 6.1017374 (47)	total: 312ms	remaining: 9.44s
48:	learn: 5.9903670	test: 6.0584152	best: 6.0584152 (48)	total: 315ms	remaining: 9.32s
49:	learn: 5.9564343	test: 6.0236487	best: 6.0236487 (49)	total: 317ms	remaining: 9.2s
50:	learn: 5.9063619	test: 5.9753827	best: 5.9753827 (50)	total: 320ms	remaining: 9.09s
51:	learn: 5.8720873	test: 5.9391838	best: 5.9391838 (51)	total: 323ms	remaining: 9.01s
52:	learn: 5.8376721	test: 5.9031291	best: 5.9031291 (52)	total: 327ms	remaining: 8.93s
53:	learn: 5.8080037	test: 5.8741468	best: 5.8741468 (53)	total: 331ms	remaining: 8.87s
54:	learn: 5.7708875	test: 5.8386821	best: 5.8386821 (54)	total: 335ms	remaining: 8.81s
55:	learn: 5.7422954	test: 5.8088251	best: 5.8088251 (55)	total: 339ms	remaining: 8.73s
56:	learn: 5.7087656	test: 5.7765125	best: 5.7765125 (56)	total: 342ms	remaining: 8.65s
57:	learn: 5.6757777	test: 5.7423366	best: 5.7423366 (57)	total: 345ms	remaining: 8.57s
58:	learn: 5.6525452	test: 5.7180474	best: 5.7180474 (58)	total: 347ms	remaining: 8.48s
59:	learn: 5.6329886	test: 5.6987182	best: 5.6987182 (59)	total: 350ms	remaining: 8.4s
60:	learn: 5.6039425	test: 5.6726063	best: 5.6726063 (60)	total: 353ms	remaining: 8.32s
61:	learn: 5.5875639	test: 5.6568091	best: 5.6568091 (61)	total: 355ms	remaining: 8.24s
62:	learn: 5.5697100	test: 5.6396453	best: 5.6396453 (62)	total: 358ms	remaining: 8.16s
63:	learn: 5.5506636	test: 5.6224841	best: 5.6224841 (63)	total: 360ms	remaining: 8.09s
64:	learn: 5.5267985	test: 5.5986284	best: 5.5986284 (64)	total: 363ms	remaining: 8.01s
65:	learn: 5.5002870	test: 5.5723392	best: 5.5723392 (65)	total: 365ms	remaining: 7.94s
66:	learn: 5.4836297	test: 5.5541475	best: 5.5541475 (66)	total: 368ms	remaining: 7.87s
67:	learn: 5.4705412	test: 5.5390235	best: 5.5390235 (67)	total: 370ms	remaining: 7.8s
68:	learn: 5.4583220	test: 5.5264510	best: 5.5264510 (68)	total: 373ms	remaining: 7.73s
69:	learn: 5.4394466	test: 5.5077960	best: 5.5077960 (69)	total: 375ms	remaining: 7.66s
70:	learn: 5.4183929	test: 5.4870328	best: 5.4870328 (70)	total: 378ms	remaining: 7.6s
71:	learn: 5.4065028	test: 5.4754652	best: 5.4754652 (71)	total: 381ms	remaining: 7.55s
72:	learn: 5.3976403	test: 5.4658289	best: 5.4658289 (72)	total: 383ms	remaining: 7.49s
73:	learn: 5.3877075	test: 5.4554066	best: 5.4554066 (73)	total: 386ms	remaining: 7.43s
74:	learn: 5.3785430	test: 5.4462128	best: 5.4462128 (74)	total: 388ms	remaining: 7.37s
75:	learn: 5.3597811	test: 5.4290238	best: 5.4290238 (75)	total: 390ms	remaining: 7.32s
76:	learn: 5.3454942	test: 5.4157712	best: 5.4157712 (76)	total: 394ms	remaining: 7.27s
77:	learn: 5.3352171	test: 5.4046336	best: 5.4046336 (77)	total: 396ms	remaining: 7.23s
78:	learn: 5.3271415	test: 5.3975005	best: 5.3975005 (78)	total: 399ms	remaining: 7.17s
79:	learn: 5.3134854	test: 5.3861377	best: 5.3861377 (79)	total: 401ms	remaining: 7.12s
80:	learn: 5.3039809	test: 5.3764240	best: 5.3764240 (80)	total: 404ms	remaining: 7.07s
81:	learn: 5.2979789	test: 5.3707642	best: 5.3707642 (81)	total: 406ms	remaining: 7.03s
82:	learn: 5.2845621	test: 5.3577959	best: 5.3577959 (82)	total: 409ms	remaining: 6.99s
83:	learn: 5.2752852	test: 5.3497272	best: 5.3497272 (83)	total: 412ms	remaining: 6.94s
84:	learn: 5.2704120	test: 5.3453582	best: 5.3453582 (84)	total: 414ms	remaining: 6.9s
85:	learn: 5.2584384	test: 5.3344546	best: 5.3344546 (85)	total: 417ms	remaining: 6.85s
86:	learn: 5.2472795	test: 5.3237983	best: 5.3237983 (86)	total: 419ms	remaining: 6.81s
87:	learn: 5.2404204	test: 5.3170400	best: 5.3170400 (87)	total: 422ms	remaining: 6.77s
88:	learn: 5.2349673	test: 5.3122905	best: 5.3122905 (88)	total: 425ms	remaining: 6.73s
89:	learn: 5.2279169	test: 5.3058051	best: 5.3058051 (89)	total: 427ms	remaining: 6.7s
90:	learn: 5.2223547	test: 5.3014160	best: 5.3014160 (90)	total: 430ms	remaining: 6.66s
91:	learn: 5.2170722	test: 5.2974525	best: 5.2974525 (91)	total: 433ms	remaining: 6.62s
92:	learn: 5.2133383	test: 5.2938824	best: 5.2938824 (92)	total: 435ms	remaining: 6.58s
93:	learn: 5.2092702	test: 5.2913786	best: 5.2913786 (93)	total: 437ms	remaining: 6.54s
94:	learn: 5.1998303	test: 5.2825165	best: 5.2825165 (94)	total: 441ms	remaining: 6.52s
95:	learn: 5.1933961	test: 5.2786933	best: 5.2786933 (95)	total: 443ms	remaining: 6.48s
96:	learn: 5.1901048	test: 5.2751126	best: 5.2751126 (96)	total: 445ms	remaining: 6.44s
97:	learn: 5.1865328	test: 5.2706085	best: 5.2706085 (97)	total: 448ms	remaining: 6.41s
98:	learn: 5.1822950	test: 5.2676347	best: 5.2676347 (98)	total: 450ms	remaining: 6.37s
99:	learn: 5.1726089	test: 5.2597135	best: 5.2597135 (99)	total: 453ms	remaining: 6.34s
100:	learn: 5.1685798	test: 5.2565104	best: 5.2565104 (100)	total: 456ms	remaining: 6.32s
101:	learn: 5.1659779	test: 5.2536813	best: 5.2536813 (101)	total: 459ms	remaining: 6.29s
102:	learn: 5.1590314	test: 5.2484191	best: 5.2484191 (102)	total: 461ms	remaining: 6.25s
103:	learn: 5.1557463	test: 5.2455442	best: 5.2455442 (103)	total: 464ms	remaining: 6.22s
104:	learn: 5.1503906	test: 5.2406442	best: 5.2406442 (104)	total: 466ms	remaining: 6.19s
105:	learn: 5.1477816	test: 5.2390315	best: 5.2390315 (105)	total: 468ms	remaining: 6.16s
106:	learn: 5.1436394	test: 5.2368924	best: 5.2368924 (106)	total: 472ms	remaining: 6.14s
107:	learn: 5.1414490	test: 5.2355163	best: 5.2355163 (107)	total: 474ms	remaining: 6.11s
108:	learn: 5.1359206	test: 5.2311678	best: 5.2311678 (108)	total: 477ms	remaining: 6.08s
109:	learn: 5.1338281	test: 5.2288363	best: 5.2288363 (109)	total: 479ms	remaining: 6.05s
110:	learn: 5.1271081	test: 5.2239683	best: 5.2239683 (110)	total: 481ms	remaining: 6.02s
111:	learn: 5.1225521	test: 5.2208669	best: 5.2208669 (111)	total: 484ms	remaining: 6s
112:	learn: 5.1198846	test: 5.2183839	best: 5.2183839 (112)	total: 487ms	remaining: 5.98s
113:	learn: 5.1164153	test: 5.2160183	best: 5.2160183 (113)	total: 489ms	remaining: 5.95s
114:	learn: 5.1133848	test: 5.2142339	best: 5.2142339 (114)	total: 492ms	remaining: 5.92s
115:	learn: 5.1115103	test: 5.2130597	best: 5.2130597 (115)	total: 494ms	remaining: 5.9s
116:	learn: 5.1058765	test: 5.2079715	best: 5.2079715 (116)	total: 497ms	remaining: 5.87s
117:	learn: 5.1029123	test: 5.2046478	best: 5.2046478 (117)	total: 499ms	remaining: 5.85s
118:	learn: 5.0995058	test: 5.2022355	best: 5.2022355 (118)	total: 502ms	remaining: 5.83s
119:	learn: 5.0963699	test: 5.2000658	best: 5.2000658 (119)	total: 505ms	remaining: 5.8s
120:	learn: 5.0949428	test: 5.1989365	best: 5.1989365 (120)	total: 507ms	remaining: 5.78s
121:	learn: 5.0944441	test: 5.1981588	best: 5.1981588 (121)	total: 508ms	remaining: 5.74s
122:	learn: 5.0921667	test: 5.1972089	best: 5.1972089 (122)	total: 511ms	remaining: 5.72s
123:	learn: 5.0894852	test: 5.1959170	best: 5.1959170 (123)	total: 514ms	remaining: 5.7s
124:	learn: 5.0876458	test: 5.1946874	best: 5.1946874 (124)	total: 516ms	remaining: 5.68s
125:	learn: 5.0859219	test: 5.1929669	best: 5.1929669 (125)	total: 519ms	remaining: 5.66s
126:	learn: 5.0840592	test: 5.1913489	best: 5.1913489 (126)	total: 522ms	remaining: 5.64s
127:	learn: 5.0792196	test: 5.1866836	best: 5.1866836 (127)	total: 524ms	remaining: 5.62s
128:	learn: 5.0738431	test: 5.1828066	best: 5.1828066 (128)	total: 527ms	remaining: 5.6s
129:	learn: 5.0725785	test: 5.1824985	best: 5.1824985 (129)	total: 530ms	remaining: 5.58s
130:	learn: 5.0713095	test: 5.1820006	best: 5.1820006 (130)	total: 533ms	remaining: 5.57s
131:	learn: 5.0684791	test: 5.1800724	best: 5.1800724 (131)	total: 536ms	remaining: 5.55s
132:	learn: 5.0668998	test: 5.1787096	best: 5.1787096 (132)	total: 539ms	remaining: 5.53s
133:	learn: 5.0648917	test: 5.1776372	best: 5.1776372 (133)	total: 542ms	remaining: 5.52s
134:	learn: 5.0622474	test: 5.1771684	best: 5.1771684 (134)	total: 546ms	remaining: 5.52s
135:	learn: 5.0605326	test: 5.1771986	best: 5.1771684 (134)	total: 550ms	remaining: 5.52s
136:	learn: 5.0595168	test: 5.1763143	best: 5.1763143 (136)	total: 553ms	remaining: 5.5s
137:	learn: 5.0573664	test: 5.1766662	best: 5.1763143 (136)	total: 557ms	remaining: 5.5s
138:	learn: 5.0554168	test: 5.1754713	best: 5.1754713 (138)	total: 560ms	remaining: 5.48s
139:	learn: 5.0534346	test: 5.1751095	best: 5.1751095 (139)	total: 563ms	remaining: 5.47s
140:	learn: 5.0522756	test: 5.1740822	best: 5.1740822 (140)	total: 566ms	remaining: 5.46s
141:	learn: 5.0504697	test: 5.1726108	best: 5.1726108 (141)	total: 569ms	remaining: 5.44s
142:	learn: 5.0484011	test: 5.1716404	best: 5.1716404 (142)	total: 571ms	remaining: 5.42s
143:	learn: 5.0469524	test: 5.1717046	best: 5.1716404 (142)	total: 574ms	remaining: 5.41s
144:	learn: 5.0445713	test: 5.1715077	best: 5.1715077 (144)	total: 577ms	remaining: 5.39s
145:	learn: 5.0425059	test: 5.1702645	best: 5.1702645 (145)	total: 581ms	remaining: 5.39s
146:	learn: 5.0413795	test: 5.1693809	best: 5.1693809 (146)	total: 584ms	remaining: 5.38s
147:	learn: 5.0392408	test: 5.1674205	best: 5.1674205 (147)	total: 587ms	remaining: 5.37s
148:	learn: 5.0366847	test: 5.1658406	best: 5.1658406 (148)	total: 591ms	remaining: 5.36s
149:	learn: 5.0346515	test: 5.1654428	best: 5.1654428 (149)	total: 594ms	remaining: 5.34s
150:	learn: 5.0333588	test: 5.1651916	best: 5.1651916 (150)	total: 597ms	remaining: 5.34s
151:	learn: 5.0310519	test: 5.1653620	best: 5.1651916 (150)	total: 601ms	remaining: 5.33s
152:	learn: 5.0295013	test: 5.1653856	best: 5.1651916 (150)	total: 604ms	remaining: 5.32s
153:	learn: 5.0276799	test: 5.1635791	best: 5.1635791 (153)	total: 608ms	remaining: 5.31s
154:	learn: 5.0236747	test: 5.1616729	best: 5.1616729 (154)	total: 611ms	remaining: 5.3s
155:	learn: 5.0223247	test: 5.1614345	best: 5.1614345 (155)	total: 614ms	remaining: 5.29s
156:	learn: 5.0206496	test: 5.1608792	best: 5.1608792 (156)	total: 618ms	remaining: 5.28s
157:	learn: 5.0179715	test: 5.1602575	best: 5.1602575 (157)	total: 621ms	remaining: 5.27s
158:	learn: 5.0139384	test: 5.1575273	best: 5.1575273 (158)	total: 624ms	remaining: 5.26s
159:	learn: 5.0122286	test: 5.1559495	best: 5.1559495 (159)	total: 628ms	remaining: 5.26s
